,id,map,game_type,ban1,ban2,ban3,ban4,ban5,ban6,pick1,pick2,pick3,pick4,pick5,pick6,pick7,pick8,pick9,pick10,level1,level2,level3,level4,level5,level6,level7,level8,level9,level10
0,1,Battlefield of Eternity,HeroLeague,Genji,Nazeebo,Zeratul,,,,Greymane,Artanis,Varian,Valla,Muradin,Uther,Hanzo,Tychus,Li Li,Falstad,11,14,12,19,20,12,6,20,7,13
1,2,Infernal Shrines,HeroLeague,Samuro,Genji,Lunara,Kael'thas,,,Sonya,Nazeebo,Thrall,Varian,Brightwing,Auriel,E.T.C.,Junkrat,Gazlowe,Tyrael,5,20,10,18,14,10,10,15,6,8
2,3,Cursed Hollow,HeroLeague,Mal'Ganis,Azmodan,Kerrigan,Li Li,Kael'thas,Genji,Dehaka,Diablo,Alexstrasza,Garrosh,Rehgar,Fenix,Falstad,Valeera,Lunara,Varian,20,12,20,20,15,13,20,16,20,10
3,4,Volskaya Foundry,TeamLeague,Kael'thas,Azmodan,Kerrigan,Muradin,Malthael,Li Li,Mal'Ganis,Diablo,Jaina,Deckard,Raynor,Dehaka,Tracer,Artanis,Greymane,Alexstrasza,5,12,20,8,5,10,20,5,14,13
4,5,Braxis Holdout,HeroLeague,Azmodan,Mal'Ganis,Sgt. Hammer,Kael'thas,Gall,,Gul'dan,Genji,Rexxar,Auriel,Blaze,Varian,Stukov,Muradin,Lunara,Alarak,8,7,10,20,17,10,10,7,20,20
5,6,Battlefield of Eternity,HeroLeague,Genji,Nazeebo,Zeratul,,,,Greymane,Artanis,Varian,Valla,Muradin,Uther,Hanzo,Tychus,Li Li,Falstad,11,14,12,19,20,12,6,20,7,13
6,7,Infernal Shrines,HeroLeague,Samuro,Genji,Lunara,Kael'thas,,,Sonya,Nazeebo,Thrall,Varian,Brightwing,Auriel,E.T.C.,Junkrat,Gazlowe,Tyrael,5,20,10,18,14,10,10,15,6,8
7,8,Cursed Hollow,HeroLeague,Mal'Ganis,Azmodan,Kerrigan,Li Li,Kael'thas,Genji,Dehaka,Diablo,Alexstrasza,Garrosh,Rehgar,Fenix,Falstad,Valeera,Lunara,Varian,20,12,20,20,15,13,20,16,20,10
8,9,Volskaya Foundry,TeamLeague,Kael'thas,Azmodan,Kerrigan,Muradin,Malthael,Li Li,Mal'Ganis,Diablo,Jaina,Deckard,Raynor,Dehaka,Tracer,Artanis,Greymane,Alexstrasza,5,12,20,8,5,10,20,5,14,13
9,10,Braxis Holdout,HeroLeague,Azmodan,Mal'Ganis,Sgt. Hammer,Kael'thas,Gall,,Gul'dan,Genji,Rexxar,Auriel,Blaze,Varian,Stukov,Muradin,Lunara,Alarak,8,7,10,20,17,10,10,7,20,20
